nacionalidad,anio,mision_hs
prom_res_world,2010,436
prom_res_world,2011,399
prom_res_world,2012,1118
prom_res_world,2013,836
prom_res_world,2014,796
prom_res_world,2015,758
prom_res_world,2016,1317
prom_res_world,2017,670
prom_res_world,2018,489
prom_res_world,2019,449
prom_usa_rus,2010,22581
prom_usa_rus,2011,24834
prom_usa_rus,2012,14429,5
prom_usa_rus,2013,19961,5
prom_usa_rus,2014,23095
prom_usa_rus,2015,17099
prom_usa_rus,2016,32436,5
prom_usa_rus,2017,16680
prom_usa_rus,2018,16692
prom_usa_rus,2019,15550,5